opportunity_count,unsafe_count,safe_count,uar_count,uar,uar_one_sided_upper,frr_count,frr,frr_one_sided_upper,closure_uar,closure_frr,unsafe_exposure_count,safe_exposure_count,initial_unresolved_rate,automated_query_rate,probe_rate,diagnostic_round_rate,local_resolution_rate,residual_escalation_rate,residual_escalation_count,irreducible_ambiguity_rate,stable_evidence_residual_rate,irreducible_recall,conditional_cmpg,conditional_pe,ambiguity_contraction_per_round,separating_action_accuracy,perception_witness_count,query_yield,scope_leakage,anti_scope_violations,unintended_decision_influence,active_basis_max,active_eligibility_max,interaction_violations,typed_channel_violations,query_cost,probe_cost,closure_rounds,mean_rounds,latency_ms,compute_units,model_tool_calls,token_count,memory_bytes,program_complexity,human_escalations,domain_escalations,complete_replay_rate,hidden_field_contamination_count,future_read_count,worst_world_uar,worst_world_frr,canonical_ast_count,template_count,semantic_hash_count,behavioral_equivalence_classes,constant_count,noop_count,name_only_count,parent_identical_count,operation_noncompliance_count,search_provenance_incomplete_count,independent_gate_failure_count,certifier_blindness_failure_count,permutation_failure_count,witness_reproduction_failure_count,firewall_attack_detected_count,track_id,method,condition_id,point_id,generation,feedback_aware_time_to_detection,time_to_local_closure,time_to_persistent_certification,recurrence_resolution_rate,library_size,eligibility_size,negative_knowledge_reuse,retention,forgetting,negative_transfer,consolidation_cost,consolidation_gain,generation_residual_slope,generation_scope_slope,lexicographic_key
15000,6225,8775,0,0.0,0.0004811263538760935,0,0.0,0.0003413357229905545,0.0,0.0,6225,8775,0.9502666666666667,0.9502666666666667,0.111,0.9502666666666667,0.7376666666666667,0.2126,3189,0.2126,0.0,1.0,0.7762733267854637,0.7762733267854637,0.38813666339273184,0.7762733267854637,15000,0.7762733267854637,0,0,0,2,2,0,0,14254.0,1665.0,28508.0,1.9005333333333334,1419000.0,59427.0,15919,0,4096,8.0,3189,3189,1.0,0,0,0.0,0.0,20,12,20,20,0,0,0,0,0,0,0,0,0,0,0,blind_bank,perception_closure_v04,v04_cumulative,p00,1,2.0,2.0,1.0,0.7245454545454545,20,2,163,1.0,0.0,0.0,21680.0,0.0,0.033866666666666656,0.0,"[0.0, 0.0, 0.2126, 14254.0, 1419000.0, 8.0]"
15000,6225,8775,0,0.0,0.0004811263538760935,0,0.0,0.0003413357229905545,0.0,0.0,6225,8775,0.9502666666666667,0.9502666666666667,0.111,0.9502666666666667,0.7376666666666667,0.2126,3189,0.2126,0.0,1.0,0.7762733267854637,0.7762733267854637,0.38813666339273184,0.7762733267854637,15000,0.7762733267854637,0,0,0,2,2,0,0,14254.0,1665.0,28508.0,1.9005333333333334,1419000.0,59427.0,15919,0,4096,8.0,3189,3189,1.0,0,0,0.0,0.0,20,12,20,20,0,0,0,0,0,0,0,0,0,0,0,blind_bank,perception_closure_v04,v04_fresh,p00,1,2.0,2.0,0.0,0.7245454545454545,20,2,163,0.0,0.0,0.0,21680.0,0.0,0.033866666666666656,0.0,"[0.0, 0.0, 0.2126, 14254.0, 1419000.0, 8.0]"
15000,6225,8775,0,0.0,0.0004811263538760935,0,0.0,0.0003413357229905545,0.0,0.0,6225,8775,0.9502666666666667,0.9502666666666667,0.111,0.9502666666666667,0.7376666666666667,0.2126,3189,0.2126,0.0,1.0,0.7762733267854637,0.7762733267854637,0.38813666339273184,0.7762733267854637,15000,0.7762733267854637,0,0,0,2,2,0,0,14254.0,1665.0,28508.0,1.9005333333333334,1419000.0,59427.0,15919,0,4096,8.0,3189,3189,1.0,0,0,0.0,0.0,20,12,20,20,0,0,0,0,0,0,0,0,0,0,0,blind_bank,perception_closure_v04,v04_frozen_after_g1,p00,1,2.0,2.0,0.0,0.7245454545454545,20,2,163,1.0,0.0,0.0,21680.0,0.0,0.033866666666666656,0.0,"[0.0, 0.0, 0.2126, 14254.0, 1419000.0, 8.0]"
15000,6225,8775,33,0.005301204819277108,,114,0.012991452991452991,,0.005301204819277108,0.012991452991452991,6225,8775,0.9502666666666667,0.0,0.0,0.0,0.7956,0.15466666666666667,2320,0.2126,0.15199656504937742,0.1724678582627783,0.8372386698470605,0.8372386698470605,11934.0,1.0,0,1.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,300000.0,15000.0,0,0,4096,4.0,2320,2320,1.0,0,0,0.1111111111111111,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,blind_bank,legacy_mavs_sl,legacy_A0,p00,1,0.0,0.0,1.0,0.8072727272727273,0,2,163,1.0,0.0,0.0,20341.0,0.0,0.033866666666666656,0.0,"[0.005301204819277108, 0.012991452991452991, 0.15466666666666667, 0.0, 300000.0, 4.0]"
15000,6225,8775,9,0.0014457831325301205,,31,0.003532763532763533,,0.0014457831325301205,0.003532763532763533,6225,8775,0.9502666666666667,0.0,0.0,0.0,0.6568,0.29346666666666665,4402,0.2126,0.29025332760841566,0.3204766384446535,0.6911744071839484,0.6911744071839484,9852.0,1.0,0,1.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,300000.0,15000.0,0,0,4096,4.0,4402,4402,1.0,0,0,0.06666666666666667,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,blind_bank,legacy_mavs_sl,A1_frozen,p00,1,0.0,0.0,0.0,0.6690909090909091,0,2,163,0.0,0.0,0.0,10253.0,0.0,0.033866666666666656,0.0,"[0.0014457831325301205, 0.003532763532763533, 0.29346666666666665, 0.0, 300000.0, 4.0]"
15000,6225,8775,9,0.0014457831325301205,,31,0.003532763532763533,,0.0014457831325301205,0.003532763532763533,6225,8775,0.9502666666666667,0.0,0.0,0.0,0.6568,0.29346666666666665,4402,0.2126,0.29025332760841566,0.3204766384446535,0.6911744071839484,0.6911744071839484,9852.0,1.0,0,1.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,300000.0,15000.0,0,0,4096,4.0,4402,4402,1.0,0,0,0.06666666666666667,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,blind_bank,legacy_mavs_sl,A2_threshold_only,p00,1,0.0,0.0,0.0,0.6690909090909091,0,2,163,0.0,0.0,0.0,10253.0,0.0,0.033866666666666656,0.0,"[0.0014457831325301205, 0.003532763532763533, 0.29346666666666665, 0.0, 300000.0, 4.0]"
15000,6225,8775,33,0.005301204819277108,,114,0.012991452991452991,,0.005301204819277108,0.012991452991452991,6225,8775,0.9502666666666667,0.0,0.0,0.0,0.7956,0.15466666666666667,2320,0.2126,0.15199656504937742,0.1724678582627783,0.8372386698470605,0.8372386698470605,11934.0,1.0,0,1.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,300000.0,15000.0,0,0,4096,4.0,2320,2320,1.0,0,0,0.1111111111111111,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,blind_bank,legacy_mavs_sl,A3_selector_only,p00,1,0.0,0.0,0.0,0.8072727272727273,0,2,163,0.0,0.0,0.0,10253.0,0.0,0.033866666666666656,0.0,"[0.005301204819277108, 0.012991452991452991, 0.15466666666666667, 0.0, 300000.0, 4.0]"
15000,6225,8775,9,0.0014457831325301205,,31,0.003532763532763533,,0.0014457831325301205,0.003532763532763533,6225,8775,0.9502666666666667,0.0,0.0,0.0,0.6568,0.29346666666666665,4402,0.2126,0.29025332760841566,0.3204766384446535,0.6911744071839484,0.6911744071839484,9852.0,1.0,0,1.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,300000.0,15000.0,0,0,4096,4.0,4402,4402,1.0,0,0,0.06666666666666667,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,blind_bank,fixed_mavs,fixed_full_mavs,p00,1,0.0,0.0,0.0,0.6690909090909091,0,2,163,0.0,0.0,0.0,10253.0,0.0,0.033866666666666656,0.0,"[0.0014457831325301205, 0.003532763532763533, 0.29346666666666665, 0.0, 300000.0, 4.0]"
15000,6225,8775,9,0.0014457831325301205,,31,0.003532763532763533,,0.0014457831325301205,0.003532763532763533,6225,8775,0.9502666666666667,0.0,0.0,0.0,0.6568,0.29346666666666665,4402,0.2126,0.29025332760841566,0.3204766384446535,0.6911744071839484,0.6911744071839484,9852.0,1.0,0,1.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,300000.0,15000.0,0,0,4096,4.0,4402,4402,1.0,0,0,0.06666666666666667,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,blind_bank,ds_cf,ds_cf_lineage,p00,1,0.0,0.0,0.0,0.6690909090909091,0,2,163,0.0,0.0,0.0,10253.0,0.0,0.033866666666666656,0.0,"[0.0014457831325301205, 0.003532763532763533, 0.29346666666666665, 0.0, 300000.0, 4.0]"
15000,6225,8775,9,0.0014457831325301205,,31,0.003532763532763533,,0.0014457831325301205,0.003532763532763533,6225,8775,0.9502666666666667,0.0,0.0,0.0,0.6568,0.29346666666666665,4402,0.2126,0.29025332760841566,0.3204766384446535,0.6911744071839484,0.6911744071839484,9852.0,1.0,0,1.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,300000.0,15000.0,0,0,4096,4.0,4402,4402,1.0,0,0,0.06666666666666667,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,blind_bank,memory_control,raw_memory,p00,1,0.0,0.0,0.0,0.6690909090909091,0,2,163,0.0,0.0,0.0,10253.0,0.0,0.033866666666666656,0.0,"[0.0014457831325301205, 0.003532763532763533, 0.29346666666666665, 0.0, 300000.0, 4.0]"
15000,6225,8775,9,0.0014457831325301205,,31,0.003532763532763533,,0.0014457831325301205,0.003532763532763533,6225,8775,0.9502666666666667,0.0,0.0,0.0,0.6568,0.29346666666666665,4402,0.2126,0.29025332760841566,0.3204766384446535,0.6911744071839484,0.6911744071839484,9852.0,1.0,0,1.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,300000.0,15000.0,0,0,4096,4.0,4402,4402,1.0,0,0,0.06666666666666667,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,blind_bank,memory_control,matched_memory,p00,1,0.0,0.0,0.0,0.6690909090909091,0,2,163,0.0,0.0,0.0,10253.0,0.0,0.033866666666666656,0.0,"[0.0014457831325301205, 0.003532763532763533, 0.29346666666666665, 0.0, 300000.0, 4.0]"
15000,6225,8775,33,0.005301204819277108,,114,0.012991452991452991,,0.005301204819277108,0.012991452991452991,6225,8775,0.9502666666666667,0.0,0.0,0.0,0.7956,0.15466666666666667,2320,0.2126,0.15199656504937742,0.1724678582627783,0.8372386698470605,0.8372386698470605,11934.0,1.0,0,1.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,300000.0,15000.0,0,0,4096,4.0,2320,2320,1.0,0,0,0.1111111111111111,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,blind_bank,reduced_learning,reduced_learning,p00,1,0.0,0.0,0.0,0.8072727272727273,0,2,163,0.0,0.0,0.0,10253.0,0.0,0.033866666666666656,0.0,"[0.005301204819277108, 0.012991452991452991, 0.15466666666666667, 0.0, 300000.0, 4.0]"
15000,6225,8775,2282,0.3665863453815261,,3221,0.3670655270655271,,0.34473895582329317,0.35156695156695156,6225,8775,0.9502666666666667,0.0,0.0,0.0,0.6868666666666666,0.2782,4173,0.2126,0.279089738085015,0.277516462841016,0.7228146485197138,0.7228146485197138,10303.0,1.0,0,1.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,300000.0,15000.0,0,0,4096,4.0,4173,4173,1.0,0,0,0.7142857142857143,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,blind_bank,random_proposal,random_proposal,p00,1,0.0,0.0,1.0,0.6818181818181818,0,2,163,1.0,0.0,0.0,20341.0,0.0,0.033866666666666656,0.0,"[0.3665863453815261, 0.3670655270655271, 0.2782, 0.0, 300000.0, 4.0]"
15000,6225,8775,0,0.0,0.0004811263538760935,0,0.0,0.0003413357229905545,0.0,0.0,6225,8775,0.9502666666666667,0.0,0.0,0.0,0.9502666666666667,0.0,0,0.2126,0.0,0.0,1.0,1.0,14254.0,1.0,0,1.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,300000.0,15000.0,0,0,4096,4.0,0,0,1.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,blind_bank,oracle,oracle_closure,p00,1,0.0,0.0,0.0,0.9436363636363636,0,2,0,0.0,0.0,0.0,165.0,0.0,0.033866666666666656,0.0,"[0.0, 0.0, 0.0, 0.0, 300000.0, 4.0]"
15000,6225,8775,0,0.0,0.0004811263538760935,0,0.0,0.0003413357229905545,0.0,0.0,6225,8775,0.9502666666666667,0.0,0.0,0.0,0.0,0.9502666666666667,14254,0.2126,0.9501932159725204,1.0,0.0,0.0,0.0,1.0,15000,1.0,0,0,0,2,2,0,0,0.0,0.0,0.0,0.0,300000.0,15000.0,0,0,4096,8.0,14254,14254,1.0,0,0,0.0,0.0,20,1,20,20,0,0,0,0,0,0,0,0,0,0,0,blind_bank,perception_closure_v04,I1,p00,1,0.0,,1.0,0.0,20,2,163,1.0,0.0,0.0,11592.0,0.0,0.033866666666666656,0.0,"[0.0, 0.0, 0.9502666666666667, 0.0, 300000.0, 8.0]"
15000,6225,8775,0,0.0,0.0004811263538760935,0,0.0,0.0003413357229905545,0.0,0.0,6225,8775,0.9502666666666667,0.9502666666666667,0.111,0.9502666666666667,0.7376666666666667,0.2126,3189,0.2126,0.0,1.0,0.7762733267854637,0.7762733267854637,0.38813666339273184,0.7762733267854637,15000,0.7762733267854637,0,0,0,2,2,0,0,14254.0,1665.0,28508.0,1.9005333333333334,1419000.0,59427.0,15919,0,4096,8.0,3189,3189,1.0,0,0,0.0,0.0,40,12,20,20,0,0,0,0,0,0,0,0,0,0,0,blind_bank,perception_closure_v04,I2,p00,1,2.0,2.0,1.0,0.7245454545454545,20,2,163,1.0,0.0,0.0,21680.0,0.0,0.033866666666666656,0.0,"[0.0, 0.0, 0.2126, 14254.0, 1419000.0, 8.0]"
15000,6225,8775,0,0.0,0.0004811263538760935,0,0.0,0.0003413357229905545,0.0,0.0,6225,8775,0.9502666666666667,0.9502666666666667,0.111,0.9502666666666667,0.7376666666666667,0.2126,3189,0.2126,0.0,1.0,0.7762733267854637,0.7762733267854637,0.38813666339273184,0.7762733267854637,15000,0.7762733267854637,0,0,0,2,2,0,0,14254.0,1665.0,28508.0,1.9005333333333334,1419000.0,59427.0,15919,0,4096,8.0,3189,3189,1.0,0,0,0.0,0.0,20,12,20,40,0,0,0,0,0,0,0,0,0,0,0,blind_bank,perception_closure_v04,I3,p00,1,2.0,2.0,1.0,0.7245454545454545,20,2,163,1.0,0.0,0.0,21680.0,0.0,0.033866666666666656,0.0,"[0.0, 0.0, 0.2126, 14254.0, 1419000.0, 8.0]"
15000,6225,8775,0,0.0,0.0004811263538760935,0,0.0,0.0003413357229905545,0.0,0.0,6225,8775,0.9502666666666667,0.9502666666666667,0.111,0.9502666666666667,0.7376666666666667,0.2126,3189,0.2126,0.0,1.0,0.7762733267854637,0.7762733267854637,0.38813666339273184,0.7762733267854637,15000,0.7762733267854637,0,0,0,2,2,0,0,14254.0,1665.0,28508.0,1.9005333333333334,1419000.0,59427.0,15919,0,4096,8.0,3189,3189,1.0,0,0,0.0,0.0,20,12,20,20,0,0,0,0,0,0,0,0,0,0,15000,blind_bank,perception_closure_v04,I6,p00,1,2.0,2.0,1.0,0.7245454545454545,20,2,163,1.0,0.0,0.0,21680.0,0.0,0.033866666666666656,0.0,"[0.0, 0.0, 0.2126, 14254.0, 1419000.0, 8.0]"
15000,6225,8775,0,0.0,0.0004811263538760935,0,0.0,0.0003413357229905545,0.0,0.0,6225,8775,0.9502666666666667,0.9502666666666667,0.111,0.9502666666666667,0.7376666666666667,0.2126,3189,0.2126,0.0,1.0,0.7762733267854637,0.7762733267854637,0.38813666339273184,0.7762733267854637,15000,0.7762733267854637,0,0,0,2,2,0,0,14254.0,1665.0,28508.0,1.9005333333333334,1419000.0,59427.0,15919,0,4096,8.0,3189,3189,1.0,0,0,0.0,0.0,20,12,20,20,0,0,0,0,0,0,0,0,0,0,15000,blind_bank,perception_closure_v04,I7,p00,1,2.0,2.0,1.0,0.7245454545454545,20,2,163,1.0,0.0,0.0,21680.0,0.0,0.033866666666666656,0.0,"[0.0, 0.0, 0.2126, 14254.0, 1419000.0, 8.0]"
15000,6225,8775,0,0.0,0.0004811263538760935,0,0.0,0.0003413357229905545,0.0,0.0,6225,8775,0.9502666666666667,0.9502666666666667,0.111,0.9502666666666667,0.7376666666666667,0.2126,3189,0.2126,0.0,1.0,0.7762733267854637,0.7762733267854637,0.38813666339273184,0.7762733267854637,15000,0.7762733267854637,0,0,0,2,2,0,0,14254.0,1665.0,28508.0,1.9005333333333334,1419000.0,59427.0,15919,0,4096,8.0,3189,3189,1.0,0,0,0.0,0.0,20,12,20,20,0,0,0,0,0,0,79,0,0,0,0,blind_bank,perception_closure_v04,I8,p00,1,2.0,2.0,1.0,0.7245454545454545,20,2,163,1.0,0.0,0.0,21680.0,0.0,0.033866666666666656,0.0,"[0.0, 0.0, 0.2126, 14254.0, 1419000.0, 8.0]"
15000,6225,8775,16,0.002570281124497992,,26,0.002962962962962963,,0.0024096385542168677,0.002849002849002849,6225,8775,0.9502666666666667,0.9502666666666667,0.111,0.9502666666666667,0.7387333333333334,0.21153333333333332,3173,0.2126,0.0,0.9949827532141737,0.7773958187175529,0.7773958187175529,0.38869790935877646,0.7762733267854637,15000,0.7773958187175529,0,0,0,2,2,0,0,14254.0,1665.0,28508.0,1.9005333333333334,1419000.0,59427.0,15919,0,4096,8.0,3173,3173,1.0,0,0,0.1111111111111111,0.05555555555555555,20,12,20,20,0,0,0,0,0,0,0,0,0,0,0,blind_bank,perception_closure_v04,I9,p00,1,2.0,2.0,1.0,0.7254545454545455,20,2,163,1.0,0.0,0.0,21680.0,0.0,0.033866666666666656,0.0,"[0.002570281124497992, 0.002962962962962963, 0.21153333333333332, 14254.0, 1419000.0, 8.0]"
15000,6225,8775,0,0.0,0.0004811263538760935,0,0.0,0.0003413357229905545,0.0,0.0,6225,8775,0.9502666666666667,0.0,0.0,0.0,0.0,0.9502666666666667,14254,0.2126,0.9501932159725204,1.0,0.0,0.0,0.0,1.0,15000,1.0,0,0,0,2,2,0,0,0.0,0.0,0.0,0.0,300000.0,15000.0,0,0,4096,8.0,14254,14254,1.0,0,0,0.0,0.0,20,12,20,20,0,0,0,0,0,0,0,0,0,0,0,blind_bank,perception_closure_v04,P1,p00,1,0.0,,1.0,0.0,20,2,163,1.0,0.0,0.0,11592.0,0.0,0.033866666666666656,0.0,"[0.0, 0.0, 0.9502666666666667, 0.0, 300000.0, 8.0]"
15000,6225,8775,0,0.0,0.0004811263538760935,0,0.0,0.0003413357229905545,0.0,0.0,6225,8775,0.9502666666666667,0.0,0.0,0.0,0.0,0.9502666666666667,14254,0.2126,0.9501932159725204,1.0,0.0,0.0,0.0,1.0,15000,1.0,0,0,0,2,2,0,0,0.0,0.0,0.0,0.0,300000.0,15000.0,0,0,4096,8.0,14254,14254,1.0,0,0,0.0,0.0,20,12,20,20,0,0,0,0,0,0,0,0,0,0,0,blind_bank,perception_closure_v04,P4,p00,1,0.0,,1.0,0.0,20,2,163,1.0,0.0,0.0,11592.0,0.0,0.033866666666666656,0.0,"[0.0, 0.0, 0.9502666666666667, 0.0, 300000.0, 8.0]"
15000,6225,8775,0,0.0,0.0004811263538760935,1,0.00011396011396011396,,0.0,0.00011396011396011396,6225,8775,0.9502666666666667,0.9502666666666667,0.111,0.9502666666666667,0.7378666666666667,0.2124,3186,0.2126,0.0,0.9990592662276576,0.7764837940227305,0.7764837940227305,0.38824189701136524,0.7762733267854637,15000,0.7764837940227305,7,7,7,2,2,0,0,14254.0,1665.0,28508.0,1.9005333333333334,1419000.0,59427.0,15919,0,4096,8.0,3186,3186,1.0,0,0,0.0,0.045454545454545456,20,12,20,20,0,0,0,0,0,0,0,0,0,0,0,blind_bank,perception_closure_v04,P5,p00,1,2.0,2.0,1.0,0.7245454545454545,20,2,163,1.0,0.0,0.0,21680.0,0.0,0.033866666666666656,0.0,"[0.0, 0.00011396011396011396, 0.2124, 14254.0, 1419000.0, 8.0]"
15000,6225,8775,0,0.0,0.0004811263538760935,0,0.0,0.0003413357229905545,0.0,0.0,6225,8775,0.9502666666666667,0.9502666666666667,0.111,0.9502666666666667,0.7376666666666667,0.2126,3189,0.2126,0.0,1.0,0.7762733267854637,0.7762733267854637,0.38813666339273184,0.7762733267854637,15000,0.7762733267854637,0,0,0,2,2,0,0,14254.0,1665.0,28508.0,1.9005333333333334,1419000.0,59427.0,15919,0,4096,16.0,3189,3189,1.0,0,0,0.0,0.0,20,12,20,20,0,0,0,0,0,0,0,0,0,0,0,blind_bank,perception_closure_v04,P6,p00,1,2.0,2.0,1.0,0.7245454545454545,20,2,163,1.0,0.0,0.0,21680.0,0.0,0.033866666666666656,0.0,"[0.0, 0.0, 0.2126, 14254.0, 1419000.0, 16.0]"
